Gene,UniProt,Sample_type,Tissue,Species,Repository,Reference,Confidence_Score,Description,Coverage_Map_File,Total_Ion_Intensity
FGG,P02679,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,48625.2,Fibrinogen gamma chain,Retinal vascular basement membrane_P02679.html,704421
FGG,P02679,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,48625.2,Fibrinogen gamma chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P02679.html,0
FGG,P02679,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,48625.2,Fibrinogen gamma chain,Symptomatic carotid stenosis (Soluble protein fraction)_P02679.html,0
FGG,P02679,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,48625.2,Fibrinogen gamma chain,Varicose Saphenous Vein (Insoluble protein fraction)_P02679.html,203483008
FGG,P02679,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,48625.2,Fibrinogen gamma chain,Varicose Saphenous Vein (Soluble protein fraction)_P02679.html,347608992
COL1A1,P02452,Normal omental tissue (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44944.9,Collagen alpha-1(I) chain,Normal omental tissue (Crude ECM protein fraction)_P02452.html,9686150100
COL1A1,P02452,Normal omental tissue (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44944.9,Collagen alpha-1(I) chain,Normal omental tissue (Soluble protein fraction)_P02452.html,4016440060
COL1A1,P02452,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44944.9,Collagen alpha-1(I) chain,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P02452.html,31556900900
COL1A1,P02452,Omental metastasis from HGS ovarian carcinoma (Insoluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44944.9,Collagen alpha-1(I) chain,Omental metastasis from HGS ovarian carcinoma (Insoluble protein fraction)_P02452.html,4131830020
COL1A1,P02452,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44944.9,Collagen alpha-1(I) chain,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P02452.html,32850901000
Col1a2,Q01149,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,44487.4,Collagen alpha-2(I) chain,Bronchoalveolar lavage of fibrotic lung_Q01149.html,215998000
Col1a2,Q01149,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,44487.4,Collagen alpha-2(I) chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q01149.html,2.87E+11
Fgb,Q8K0E8,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,44050,Fibrinogen beta chain,Bronchoalveolar lavage of fibrotic lung_Q8K0E8.html,7780810200
Fgb,Q8K0E8,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,44050,Fibrinogen beta chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q8K0E8.html,1.73E+11
COL6A3,P12111,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,43170.7,Collagen alpha-3(VI) chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P12111.html,0
COL6A3,P12111,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,43170.7,Collagen alpha-3(VI) chain,Asymptomatic carotid (Soluble protein fraction)_P12111.html,0
COL6A3,P12111,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,43170.7,Collagen alpha-3(VI) chain,Normal Saphenous Vein (Insoluble protein fraction)_P12111.html,8773140500
COL6A3,P12111,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,43170.7,Collagen alpha-3(VI) chain,Normal Saphenous Vein (Soluble protein fraction)_P12111.html,64513200
COL6A3,P12111,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,43170.7,Collagen alpha-3(VI) chain,Proteins from human vascular SMCs in culture_P12111.html,0
COL6A3,P12111,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,43170.7,Collagen alpha-3(VI) chain,Retinal vascular basement membrane_P12111.html,81796400
COL6A3,P12111,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,43170.7,Collagen alpha-3(VI) chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P12111.html,0
COL6A3,P12111,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,43170.7,Collagen alpha-3(VI) chain,Symptomatic carotid stenosis (Soluble protein fraction)_P12111.html,0
COL6A3,P12111,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,43170.7,Collagen alpha-3(VI) chain,Varicose Saphenous Vein (Insoluble protein fraction)_P12111.html,4718009900
Col1a1,P11087,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,43094,Collagen alpha-1(I) chain,Bronchoalveolar lavage of fibrotic lung_P11087.html,225063008
Col1a1,P11087,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,43094,Collagen alpha-1(I) chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P11087.html,3.12E+11
COL1A2,P08123,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,42253.5,Collagen alpha-2(I) chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P08123.html,0
COL1A2,P08123,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,42253.5,Collagen alpha-2(I) chain,Asymptomatic carotid (Soluble protein fraction)_P08123.html,0
COL1A2,P08123,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,42253.5,Collagen alpha-2(I) chain,Normal Saphenous Vein (Insoluble protein fraction)_P08123.html,2921520130
COL1A2,P08123,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,42253.5,Collagen alpha-2(I) chain,Normal Saphenous Vein (Soluble protein fraction)_P08123.html,84749600
COL1A2,P08123,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,42253.5,Collagen alpha-2(I) chain,Proteins from human vascular SMCs in culture_P08123.html,0
COL1A2,P08123,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,42253.5,Collagen alpha-2(I) chain,Retinal vascular basement membrane_P08123.html,20072800
COL1A2,P08123,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,42253.5,Collagen alpha-2(I) chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P08123.html,0
COL1A2,P08123,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,42253.5,Collagen alpha-2(I) chain,Symptomatic carotid stenosis (Soluble protein fraction)_P08123.html,0
COL1A2,P08123,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,42253.5,Collagen alpha-2(I) chain,Varicose Saphenous Vein (Insoluble protein fraction)_P08123.html,5462300200
COL1A2,P08123,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,42253.5,Collagen alpha-2(I) chain,Varicose Saphenous Vein (Soluble protein fraction)_P08123.html,71287200
COL1A2,P08123,Normal omental tissue (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,41541.7,Collagen alpha-2(I) chain,Normal omental tissue (Crude ECM protein fraction)_P08123.html,12897200100
COL1A2,P08123,Normal omental tissue (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,41541.7,Collagen alpha-2(I) chain,Normal omental tissue (Soluble protein fraction)_P08123.html,6790110200
COL1A2,P08123,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,41541.7,Collagen alpha-2(I) chain,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P08123.html,52282401000
COL1A2,P08123,Omental metastasis from HGS ovarian carcinoma (Insoluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,41541.7,Collagen alpha-2(I) chain,Omental metastasis from HGS ovarian carcinoma (Insoluble protein fraction)_P08123.html,6906800100
COL1A2,P08123,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,41541.7,Collagen alpha-2(I) chain,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P08123.html,50989601000
Tgm2,P21981,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,40682.5,Protein-glutamine gamma-glutamyltransferase 2,Bronchoalveolar lavage of fibrotic lung_P21981.html,2686210050
Tgm2,P21981,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,40682.5,Protein-glutamine gamma-glutamyltransferase 2,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P21981.html,1.40E+11
Anxa2,P07356,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,38037.5,Annexin A2,Bronchoalveolar lavage of fibrotic lung_P07356.html,4905710100
Anxa2,P07356,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,38037.5,Annexin A2,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P07356.html,1.30E+11
COL6A3,P12111-4,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P12111-4.html,0
COL6A3,P12111-4,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Asymptomatic carotid (Soluble protein fraction)_P12111-4.html,0
COL6A3,P12111-4,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Normal Saphenous Vein (Soluble protein fraction)_P12111-4.html,64513200
COL6A3,P12111-4,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Proteins from human vascular SMCs in culture_P12111-4.html,0
COL6A3,P12111-4,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Retinal vascular basement membrane_P12111-4.html,81796400
COL6A3,P12111-4,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P12111-4.html,0
COL6A3,P12111-4,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Symptomatic carotid stenosis (Soluble protein fraction)_P12111-4.html,0
COL6A3,P12111-4,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,36184.8,Isoform 4 of Collagen alpha-3(VI) chain,Varicose Saphenous Vein (Soluble protein fraction)_P12111-4.html,79843400
Col6a1,Q04857,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,36184.3,Collagen alpha-1(VI) chain,Bronchoalveolar lavage of fibrotic lung_Q04857.html,552358980
Col6a1,Q04857,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,36184.3,Collagen alpha-1(VI) chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q04857.html,1.38E+11
Lamb3,Q61087,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,35555.7,Laminin subunit beta-3,Bronchoalveolar lavage of fibrotic lung_Q61087.html,24124200
Lamb3,Q61087,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,35555.7,Laminin subunit beta-3,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61087.html,1.01E+11
Postn,Q62009-5,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,35233.4,Isoform 5 of Periostin,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q62009-5.html,1.23E+11
Col6a2,Q02788,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,34739.1,Collagen alpha-2(VI) chain,Bronchoalveolar lavage of fibrotic lung_Q02788.html,109022000
Col6a2,Q02788,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,34739.1,Collagen alpha-2(VI) chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q02788.html,99373597000
Serpinc1,P32261,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,33856,Antithrombin-III,Bronchoalveolar lavage of fibrotic lung_P32261.html,35302801000
Serpinc1,P32261,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,33856,Antithrombin-III,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P32261.html,23683299300
Fgg,Q8VCM7,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,33598.2,Fibrinogen gamma chain,Bronchoalveolar lavage of fibrotic lung_Q8VCM7.html,20321499100
Fgg,Q8VCM7,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,33598.2,Fibrinogen gamma chain,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q8VCM7.html,4.47E+11
FN1,P02751-11,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,32565,Isoform 11 of Fibronectin,Asymptomatic carotid (Insoluble ECM protein fraction)_P02751-11.html,0
FN1,P02751-11,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,32565,Isoform 11 of Fibronectin,Asymptomatic carotid (Soluble protein fraction)_P02751-11.html,0
FN1,P02751-11,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,32565,Isoform 11 of Fibronectin,Proteins from human vascular SMCs in culture_P02751-11.html,0
FN1,P02751-11,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,32565,Isoform 11 of Fibronectin,Retinal vascular basement membrane_P02751-11.html,12420600
FN1,P02751-11,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,32565,Isoform 11 of Fibronectin,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P02751-11.html,0
FN1,P02751-11,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,32565,Isoform 11 of Fibronectin,Symptomatic carotid stenosis (Soluble protein fraction)_P02751-11.html,0
FN1,P02751-11,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,32565,Isoform 11 of Fibronectin,Varicose Saphenous Vein (Soluble protein fraction)_P02751-11.html,235040000
COL6A1,P12109,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30298,Collagen alpha-1(VI) chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P12109.html,0
COL6A1,P12109,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30298,Collagen alpha-1(VI) chain,Asymptomatic carotid (Soluble protein fraction)_P12109.html,0
COL6A1,P12109,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30298,Collagen alpha-1(VI) chain,Normal Saphenous Vein (Insoluble protein fraction)_P12109.html,9021200400
COL6A1,P12109,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30298,Collagen alpha-1(VI) chain,Normal Saphenous Vein (Soluble protein fraction)_P12109.html,24734900
COL6A1,P12109,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,30298,Collagen alpha-1(VI) chain,Proteins from human vascular SMCs in culture_P12109.html,0
COL6A1,P12109,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,30298,Collagen alpha-1(VI) chain,Retinal vascular basement membrane_P12109.html,43230300
COL6A1,P12109,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30298,Collagen alpha-1(VI) chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P12109.html,0
COL6A1,P12109,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30298,Collagen alpha-1(VI) chain,Symptomatic carotid stenosis (Soluble protein fraction)_P12109.html,0
COL6A1,P12109,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30298,Collagen alpha-1(VI) chain,Varicose Saphenous Vein (Insoluble protein fraction)_P12109.html,4781530100
COL6A1,P12109,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30298,Collagen alpha-1(VI) chain,Varicose Saphenous Vein (Soluble protein fraction)_P12109.html,33437800
FGA,P02671,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30078.1,Fibrinogen alpha chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P02671.html,0
FGA,P02671,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30078.1,Fibrinogen alpha chain,Asymptomatic carotid (Soluble protein fraction)_P02671.html,0
FGA,P02671,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30078.1,Fibrinogen alpha chain,Normal Saphenous Vein (Insoluble protein fraction)_P02671.html,227826000
FGA,P02671,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30078.1,Fibrinogen alpha chain,Normal Saphenous Vein (Soluble protein fraction)_P02671.html,166346000
FGA,P02671,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,30078.1,Fibrinogen alpha chain,Retinal vascular basement membrane_P02671.html,862275
FGA,P02671,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30078.1,Fibrinogen alpha chain,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P02671.html,0
FGA,P02671,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,30078.1,Fibrinogen alpha chain,Symptomatic carotid stenosis (Soluble protein fraction)_P02671.html,0
FGA,P02671,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30078.1,Fibrinogen alpha chain,Varicose Saphenous Vein (Insoluble protein fraction)_P02671.html,109222000
FGA,P02671,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,30078.1,Fibrinogen alpha chain,Varicose Saphenous Vein (Soluble protein fraction)_P02671.html,149366000
FGB,P02675,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,29806.4,Fibrinogen beta chain,Asymptomatic carotid (Insoluble ECM protein fraction)_P02675.html,0
FGB,P02675,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,29806.4,Fibrinogen beta chain,Asymptomatic carotid (Soluble protein fraction)_P02675.html,0
FGB,P02675,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,29806.4,Fibrinogen beta chain,Normal Saphenous Vein (Insoluble protein fraction)_P02675.html,228382000
FGB,P02675,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,29806.4,Fibrinogen beta chain,Normal Saphenous Vein (Soluble protein fraction)_P02675.html,137254000
